
Pre Training using 32464 ECGs
Epoch: [0][ 0/63]	Time 31.835 (31.835)	Data 26.093 (26.093)	Loss 1.0056e-01 (1.0056e-01)	Acc@1 100.00 (100.00)	Acc@5 100.00 (100.00)
Epoch: [0][20/63]	Time  0.603 ( 2.079)	Data  0.000 ( 1.244)	Loss 8.9041e+00 (8.0374e+00)	Acc@1   2.34 ( 11.90)	Acc@5   7.81 ( 16.52)
Epoch: [0][40/63]	Time  0.604 ( 1.360)	Data  0.000 ( 0.644)	Loss 9.7122e+00 (8.6898e+00)	Acc@1   1.56 (  6.97)	Acc@5   3.91 ( 11.15)
Epoch: [0][60/63]	Time  0.603 ( 1.112)	Data  0.000 ( 0.438)	Loss 1.0168e+01 (9.1093e+00)	Acc@1   0.00 (  5.14)	Acc@5   0.00 (  8.76)
Epoch: [1][ 0/63]	Time 26.150 (26.150)	Data 25.812 (25.812)	Loss 1.0224e+01 (1.0224e+01)	Acc@1   1.56 (  1.56)	Acc@5   3.12 (  3.12)
Epoch: [1][20/63]	Time  0.601 ( 1.821)	Data  0.001 ( 1.243)	Loss 1.0524e+01 (1.0381e+01)	Acc@1   0.00 (  1.12)	Acc@5   2.34 (  3.91)
Epoch: [1][40/63]	Time  0.604 ( 1.228)	Data  0.000 ( 0.643)	Loss 1.0756e+01 (1.0512e+01)	Acc@1   0.00 (  1.07)	Acc@5   3.12 (  3.81)
Epoch: [1][60/63]	Time  0.603 ( 1.024)	Data  0.000 ( 0.437)	Loss 1.0943e+01 (1.0625e+01)	Acc@1   0.78 (  1.00)	Acc@5   1.56 (  3.68)
Epoch: [2][ 0/63]	Time 25.913 (25.913)	Data 24.794 (24.794)	Loss 1.0968e+01 (1.0968e+01)	Acc@1   0.00 (  0.00)	Acc@5   3.12 (  3.12)
Epoch: [2][20/63]	Time  0.604 ( 1.810)	Data  0.000 ( 1.195)	Loss 1.1041e+01 (1.1015e+01)	Acc@1   0.00 (  0.89)	Acc@5   3.91 (  3.98)
Epoch: [2][40/63]	Time  0.609 ( 1.222)	Data  0.001 ( 0.619)	Loss 1.1052e+01 (1.1031e+01)	Acc@1   0.00 (  0.93)	Acc@5   3.91 (  3.73)
Epoch: [2][60/63]	Time  0.606 ( 1.020)	Data  0.000 ( 0.421)	Loss 1.1055e+01 (1.1038e+01)	Acc@1   0.78 (  0.85)	Acc@5   3.12 (  3.56)
Epoch: [3][ 0/63]	Time 26.023 (26.023)	Data 25.269 (25.269)	Loss 1.1052e+01 (1.1052e+01)	Acc@1   0.78 (  0.78)	Acc@5   2.34 (  2.34)
Epoch: [3][20/63]	Time  0.603 ( 1.815)	Data  0.000 ( 1.217)	Loss 1.1055e+01 (1.1055e+01)	Acc@1   1.56 (  0.89)	Acc@5   3.12 (  3.12)
