
Pre Training using 32464 ECGs
Epoch: [0][ 0/63]	Time 29.833 (29.833)	Data 24.526 (24.526)	Loss 1.0413e-01 (1.0413e-01)	Acc@1 100.00 (100.00)	Acc@5 100.00 (100.00)
Epoch: [0][20/63]	Time  0.603 ( 1.982)	Data  0.000 ( 1.168)	Loss 8.3141e+00 (7.7620e+00)	Acc@1  13.28 ( 20.91)	Acc@5  25.78 ( 29.09)
Epoch: [0][40/63]	Time  0.607 ( 1.310)	Data  0.000 ( 0.606)	Loss 9.3083e+00 (8.3183e+00)	Acc@1   2.34 ( 13.55)	Acc@5  16.41 ( 23.17)
Epoch: [0][60/63]	Time  0.603 ( 1.078)	Data  0.000 ( 0.412)	Loss 9.8223e+00 (8.7397e+00)	Acc@1   5.47 ( 10.28)	Acc@5   9.38 ( 19.38)
Epoch: [1][ 0/63]	Time 25.959 (25.959)	Data 24.712 (24.712)	Loss 9.8881e+00 (9.8881e+00)	Acc@1  10.16 ( 10.16)	Acc@5  20.31 ( 20.31)
Epoch: [1][20/63]	Time  0.606 ( 1.811)	Data  0.000 ( 1.191)	Loss 1.0201e+01 (1.0055e+01)	Acc@1   0.78 (  4.32)	Acc@5   2.34 ( 11.20)
Epoch: [1][40/63]	Time  0.605 ( 1.222)	Data  0.000 ( 0.617)	Loss 1.0439e+01 (1.0188e+01)	Acc@1   0.78 (  3.87)	Acc@5   3.12 ( 10.73)
Epoch: [1][60/63]	Time  0.605 ( 1.020)	Data  0.000 ( 0.419)	Loss 1.0583e+01 (1.0298e+01)	Acc@1   4.69 (  3.80)	Acc@5   8.59 ( 10.21)
Epoch: [2][ 0/63]	Time 26.426 (26.426)	Data 25.743 (25.743)	Loss 1.0611e+01 (1.0611e+01)	Acc@1   3.12 (  3.12)	Acc@5   7.03 (  7.03)
Epoch: [2][20/63]	Time  0.610 ( 1.834)	Data  0.000 ( 1.240)	Loss 1.0721e+01 (1.0673e+01)	Acc@1   3.12 (  2.16)	Acc@5  10.16 (  6.66)
Epoch: [2][40/63]	Time  0.606 ( 1.234)	Data  0.000 ( 0.642)	Loss 1.0728e+01 (1.0698e+01)	Acc@1   3.12 (  2.23)	Acc@5   6.25 (  6.06)
Epoch: [2][60/63]	Time  0.605 ( 1.028)	Data  0.000 ( 0.436)	Loss 1.0701e+01 (1.0699e+01)	Acc@1   0.78 (  1.90)	Acc@5   3.12 (  5.42)
Epoch: [3][ 0/63]	Time 25.972 (25.972)	Data 25.292 (25.292)	Loss 1.0645e+01 (1.0645e+01)	Acc@1   0.00 (  0.00)	Acc@5   4.69 (  4.69)
Epoch: [3][20/63]	Time  0.611 ( 1.813)	Data  0.000 ( 1.219)	Loss 1.0606e+01 (1.0659e+01)	Acc@1   0.00 (  0.71)	Acc@5   2.34 (  2.86)
Epoch: [3][40/63]	Time  0.611 ( 1.224)	Data  0.000 ( 0.631)	Loss 1.0576e+01 (1.0629e+01)	Acc@1   0.00 (  0.76)	Acc@5   0.00 (  2.57)
Epoch: [3][60/63]	Time  0.604 ( 1.021)	Data  0.000 ( 0.429)	Loss 1.0519e+01 (1.0599e+01)	Acc@1   0.00 (  0.74)	Acc@5   1.56 (  2.38)
Epoch: [4][ 0/63]	Time 25.862 (25.862)	Data 25.321 (25.321)	Loss 1.0478e+01 (1.0478e+01)	Acc@1   0.00 (  0.00)	Acc@5   0.00 (  0.00)
Epoch: [4][20/63]	Time  0.602 ( 1.806)	Data  0.000 ( 1.220)	Loss 1.0415e+01 (1.0451e+01)	Acc@1   0.00 (  0.45)	Acc@5   3.12 (  1.30)
Epoch: [4][40/63]	Time  0.605 ( 1.220)	Data  0.000 ( 0.632)	Loss 1.0395e+01 (1.0422e+01)	Acc@1   0.00 (  0.44)	Acc@5   0.78 (  1.41)
Epoch: [4][60/63]	Time  0.607 ( 1.018)	Data  0.000 ( 0.429)	Loss 1.0296e+01 (1.0391e+01)	Acc@1   0.00 (  0.38)	Acc@5   0.00 (  1.23)
Epoch: [5][ 0/63]	Time 26.094 (26.094)	Data 24.990 (24.990)	Loss 1.0319e+01 (1.0319e+01)	Acc@1   0.00 (  0.00)	Acc@5   3.12 (  3.12)
Epoch: [5][20/63]	Time  0.606 ( 1.818)	Data  0.000 ( 1.204)	Loss 1.0316e+01 (1.0292e+01)	Acc@1   0.00 (  0.26)	Acc@5   0.00 (  0.86)
Epoch: [5][40/63]	Time  0.603 ( 1.226)	Data  0.000 ( 0.624)	Loss 1.0287e+01 (1.0282e+01)	Acc@1   0.00 (  0.30)	Acc@5   0.00 (  0.95)
Epoch: [5][60/63]	Time  0.611 ( 1.023)	Data  0.000 ( 0.424)	Loss 1.0312e+01 (1.0274e+01)	Acc@1   0.00 (  0.23)	Acc@5   0.00 (  0.76)
Epoch: [6][ 0/63]	Time 26.206 (26.206)	Data 25.049 (25.049)	Loss 1.0291e+01 (1.0291e+01)	Acc@1   0.00 (  0.00)	Acc@5   0.78 (  0.78)
Epoch: [6][20/63]	Time  0.604 ( 1.823)	Data  0.000 ( 1.207)	Loss 1.0245e+01 (1.0231e+01)	Acc@1   0.00 (  0.19)	Acc@5   0.00 (  0.56)
Epoch: [6][40/63]	Time  0.602 ( 1.229)	Data  0.000 ( 0.625)	Loss 1.0240e+01 (1.0227e+01)	Acc@1   0.00 (  0.10)	Acc@5   0.00 (  0.44)
